id	lat	lon	title	description	icon	iconSize	iconOffset
1	47.6668	19.0756	Péter-Pál-templom	<h4 style="margin-top:-20px">(Péter-Pál templom (Csiprovacska))</h4><p><a href="http://miserend.hu/?templom=1" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
2	47.4786	19.0422	Szent Imre-templom	<h4 style="margin-top:-20px">(Budai Ciszterci templom)</h4><p><a href="http://miserend.hu/?templom=2" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
3	47.9023	20.3772	Páduai Szent Antal templom	<h4 style="margin-top:-20px">(Minorita templom)</h4><p><a href="http://miserend.hu/?templom=3" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
129	47.7138	17.6521	Nagyboldogasszony-templom	<h4 style="margin-top:-20px">(Kisbácsai templom)</h4><p><a href="http://miserend.hu/?templom=129" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
7	47.7269	17.6631	Szent István király templom	<h4 style="margin-top:-20px">(Nagybácsai templom)</h4><p><a href="http://miserend.hu/?templom=7" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
3756	47.4459	21.3928	Istenszülő Oltalma-templom	<h4 style="margin-top:-20px">(Hajdúszoboszlói Görögkatolikus templom)</h4><p><a href="http://miserend.hu/?templom=3756" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
3757	47.0111	16.6057	Sarlós Boldogasszony templom	<h4 style="margin-top:-20px">(Alsóberki templom)</h4><p><a href="http://miserend.hu/?templom=3757" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-red.png	24,24	-12,-24
859	46.5191	17.6689	Szent Mihály templom	<h4 style="margin-top:-20px">(Osztopán)</h4><p><a href="http://miserend.hu/?templom=859" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
860	46.1238	19.3191	Feltámadt Krisztus kápolna	<h4 style="margin-top:-20px">(Temetőkápolna)</h4><p><a href="http://miserend.hu/?templom=860" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green2.png	24,24	-12,-24
861	46.6038	17.6281	Szent Anna-templom	<h4 style="margin-top:-20px">(Öreglak)</h4><p><a href="http://miserend.hu/?templom=861" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
862	46.5799	17.6542	Bűnbánó Szent Mária Magdolna-templom	<h4 style="margin-top:-20px">(Somogyvár)</h4><p><a href="http://miserend.hu/?templom=862" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
4965	47.6172	19.0523	Szent Kereszt Felmagasztalása-templom	<h4 style="margin-top:-20px">(Budakalászi templom)</h4><p><a href="http://miserend.hu/?templom=4965" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green2.png	24,24	-12,-24
4966	47.631	19.0517	Szent István-templom	<h4 style="margin-top:-20px">(Szentistvántelepi Szent István-templom)</h4><p><a href="http://miserend.hu/?templom=4966" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
14	47.5561	19.0453	Kövi Szűz Mária templom	<h4 style="margin-top:-20px">(Kövi)</h4><p><a href="http://miserend.hu/?templom=14" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
16	47.506	19.0212	Jézus Szíve-templom Városmajor	<h4 style="margin-top:-20px">(Városmajor)</h4><p><a href="http://miserend.hu/?templom=16" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
17	47.5191	19.0363	Császárfürdői Szent István kápolna	<h4 style="margin-top:-20px">(Irgalmasrendi kápolna)</h4><p><a href="http://miserend.hu/?templom=17" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
18	47.5386	19.0449	Szent Péter és Pál-templom	<h4 style="margin-top:-20px">(Óbuda főplébánia)</h4><p><a href="http://miserend.hu/?templom=18" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
5150			Kápolna	<h4 style="margin-top:-20px">(Asszonyrészi görögkatolikus kápolna)</h4><p><a href="http://miserend.hu/?templom=5150" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-red2.png	24,24	-12,-24
19	47.5073	19.1428	Szent István király-templom	<h4 style="margin-top:-20px">(Rákosfalvi templom)</h4><p><a href="http://miserend.hu/?templom=19" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
3662	46.0049	20.0409	Sarlós Boldogasszony templom	<h4 style="margin-top:-20px">(Adorján)</h4><p><a href="http://miserend.hu/?templom=3662" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
3664	45.8765	18.4756	Szent Imre-templom	<h4 style="margin-top:-20px">(Virágosi templom)</h4><p><a href="http://miserend.hu/?templom=3664" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
